_id,Programme,University,Programme_Fee,Country,Address,Latitude,Longitude
314,Master of Science in Hospitality and Tourism Management,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
315,Master of Science in Human Resource Development,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
316,Master of Science in Human-Computer Interaction,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
317,Master of Science in Imaging Science,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
318,Master of Science in Industrial & Systems Engineering,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
319,Master of Science in Information Sciences & Technologies,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
320,Master of Science in Integrative Design,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
321,Master of Science in Manufacturing and Mechanical Systems Integration,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
322,Master of Science in Manufacturing Leadership,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
323,Master of Science in Materials Science and Engineering,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
324,Master of Science in Mechanical Engineering,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
325,Master of Science in Media Arts and Technology,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
326,Master of Science in Microelectronic Engineering,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
327,Master of Science in Packaging Science,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
328,Master of Science in Physics,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
329,Master of Science in Print Media,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
330,Master of Science in Product Development,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
331,Master of Science in Professional Studies,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
332,Master of Science in School Psychology,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
333,"Master of Science in Science, Technology and Public Policy",Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
334,Master of Science in Secondary Education of Students who are Deaf or Hard of Hearing,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
335,Master of Science in Service Leadership and Innovation,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
336,Master of Science in Software Engineering,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
337,Master of Science in Sustainable Engineering,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
338,Master of Science in Sustainable Systems,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
339,Master of Science in Communication Networks,Rochester Institute of Technology (RIT),47522,USA,"Rochester Institute of Technology Office of Graduate Enrollment Bausch & Lomb Center 58 Lomb Memorial Drive, 14623, Rochester",-77.6753553,43.0860171
340,Master of Science in Aerospace Systems Engineering,Wright State University,28596,USA,"Colonel Glenn Highway,3640, 45435, Dayton",-84.0592127,39.778275
341,Master of Science in Cyber Security,Wright State University,28596,USA,"Colonel Glenn Highway,3640, 45435, Dayton",-84.0592127,39.778275
342,Master of Science in Human Factors and Industrial/Organizational Psychology,Wright State University,28596,USA,"Colonel Glenn Highway,3640, 45435, Dayton",-84.0592127,39.778275
343,Master of Science in Logistics and Supply Chain Management,Wright State University,28596,USA,"Colonel Glenn Highway,3640, 45435, Dayton",-84.0592127,39.778275
344,Master of Science in Renewable and Clean Energy,Wright State University,28596,USA,"Colonel Glenn Highway,3640, 45435, Dayton",-84.0592127,39.778275
345,MA in Family Counseling,Northeastern Illinois University,24731,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
346,MA in School Counseling,Northeastern Illinois University,24731,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
347,"MA in Communication, Media & Theatre",Northeastern Illinois University,12365,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
348,MA in English,Northeastern Illinois University,13602,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
349,MA in Geography and Environmental Studies,Northeastern Illinois University,13602,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
350,MA in Human Resource Development,Northeastern Illinois University,14839,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
351,MA in Linguistics,Northeastern Illinois University,14839,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
352,MA in Music,Northeastern Illinois University,14014,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
353,MA in Political Science,Northeastern Illinois University,14839,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
354,MA in Teaching English to Speakers of Other Languages,Northeastern Illinois University,14839,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
355,MSc in Accounting,Northeastern Illinois University,27617,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
356,MSc in Biology,Northeastern Illinois University,13602,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
357,MSc in Chemistry,Northeastern Illinois University,12365,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
358,MSc in Computer Science,Northeastern Illinois University,14839,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
359,MSc in Exercise Science,Northeastern Illinois University,14839,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
360,MSc in Mathematics,Northeastern Illinois University,12365,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
361,MSc in Teaching and Inquiry,Northeastern Illinois University,12778,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
362,MSW in Social Work,Northeastern Illinois University,24731,USA,"5500 N. St. Louis Ave. Chicago, IL 60625, 60625, Chicago",-87.7191019,41.9803467
363,M.S. in Physics,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
364,M.S. in Spanish,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
365,M.A. in Applied Economics,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
366,M.A. in Arabic & Islamic Studies,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
367,M.A. in Art & Museum Studies,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
368,"M.A. in Communication, Culture & Technology",Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
369,M.A. in Conflict Resolution,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
370,M.A. in Educational Transformation,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
371,M.A. in English,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
372,M.A. in German,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
373,"M.A. in Global, International & Comparative History",Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
374,M.A. in Government (American),Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
375,M.A. in Government (Democracy & Governance),Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
376,M.A. in Italian Studies,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
377,"M.A. in Learning, Design, and Technology",Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
378,M.A. in Linguistics (Language & Communication),Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
379,M.A. in Political Economy,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
380,M.S. in Analytics,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
381,M.S. in Computer Science,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
382,M.S. in Economics,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
383,M.S. in Environmental Metrology & Policy,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
384,M.S. in Linguistics,Georgetown University - Graduate School of Arts & Sciences,2139,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
385,M.S. in Mathematics & Statistics,Georgetown University - Graduate School of Arts & Sciences,2796,USA,"Car Barn, Suite 400 3520 Prospect St NW, 20057, Washington",-77.0698926,38.9055488
386,Master of Science in Cybersecurity,Syracuse University College of Engineering and Computer Science,/,USA,", , Syracuse",-76.1474244,43.0481221
387,Master of Science in Computer Engineering,Syracuse University College of Engineering and Computer Science,/,USA,", , Syracuse",-76.1474244,43.0481221
388,Master of Arts in Economics,American University Online,/,USA,"4400 Massachusetts Avenue, 20016, Washington",-77.0368707,38.9071923
389,Master of Arts in Strategic Communication,American University Online,/,USA,"4400 Massachusetts Avenue, 20016, Washington",-77.0368707,38.9071923
390,Master of Arts in Strategic Communication (Advocacy and Social Impact Concentration),American University Online,/,USA,"4400 Massachusetts Avenue, 20016, Washington",-77.0368707,38.9071923
391,Master of Public Administration and Policy,American University Online,/,USA,"4400 Massachusetts Avenue, 20016, Washington",-77.0368707,38.9071923
392,Master of Science in Counter-Terrorism and Homeland Security,American University Online,/,USA,"4400 Massachusetts Avenue, 20016, Washington",-77.0368707,38.9071923
393,Master of Science in Human Resource Analytics and Management,American University Online,/,USA,"4400 Massachusetts Avenue, 20016, Washington",-77.0368707,38.9071923
394,Master of Science in Measurement and Evaluation,American University Online,/,USA,"4400 Massachusetts Avenue, 20016, Washington",-77.0368707,38.9071923
395,Master of Science in Sports Analytics and Management,American University Online,/,USA,"4400 Massachusetts Avenue, 20016, Washington",-77.0368707,38.9071923
396,Master of Accountancy (MAC),University of Louisville - College of Business,25000,USA,"110 W Brandeis Ave Louisville, KY 40208, , Louisville",-85.7601648,38.219069
397,Master of Science in Business Analytics (MSBA),University of Louisville - College of Business,30000,USA,"110 W Brandeis Ave Louisville, KY 40208, , Louisville",-85.7601648,38.219069
398,Master of Science in Applied Computer Science,Southeast Missouri State University Harrison College of Business and Computing,276,USA,"Southeast Missouri State University One University Plaza Cape Girardeau, MO 63701, , Cape Girardeau",-89.5181476,37.3058839
399,Master of Science in Management,Southeast Missouri State University Harrison College of Business and Computing,276,USA,"Southeast Missouri State University One University Plaza Cape Girardeau, MO 63701, , Cape Girardeau",-89.5181476,37.3058839
400,MS in Finance (MSF),Gies College of Business at the University of Illinois Urbana-Champaign,69836,USA,"515 East Gregory Drive, IL 61820, Champaign",-88.2312824,40.1033556
401,Master of Science in Accountancy (MSA),Akron University,802,USA,"259 S. Broadway St. Akron, OH, 44325, Akron",-81.5190053,41.0814447
402,Master of Science in Management,Akron University,802,USA,"259 S. Broadway St. Akron, OH, 44325, Akron",-81.5190053,41.0814447
403,Master of Taxation (MTax),Akron University,802,USA,"259 S. Broadway St. Akron, OH, 44325, Akron",-81.5190053,41.0814447
404,Master of Science in Business Analytics,Babson College,54600,USA,"231 Forest Street, 02457-0310, Wellesley",-71.2659951,42.2993708
405,Master of Science in Finance,Babson College,54600,USA,"231 Forest Street, 02457-0310, Wellesley",-71.2659951,42.2993708
406,MS in Management in Entrepreneurial Leadership,Babson College,54600,USA,"231 Forest Street, 02457-0310, Wellesley",-71.2659951,42.2993708
407,Master???s in International Peace and Conflict Resolution,Arcadia University Department of Historical and Political Studies,30170,USA,"Historical & Political Studies Easton Hall, Room 231 450 S. Easton Road, Glenside, PA 19038, , Glenside",-75.1527928,40.0999077
408,Master of Professional Accountancy (MPAc),Bryant University,3528,USA,"Douglas Pike,1150, 02917, Smithfield",-71.5369003,41.9209913
409,Master of Accounting (MACCT),Tulane A B Freeman School of Business,59786,USA,"Goldring/Woldenberg Business Complex 7 McAlister Drive New Orleans, LA 70118, , New Orleans",-90.119404,29.9394407
410,Master of Business Analytics (MANA),Tulane A B Freeman School of Business,67886,USA,"Goldring/Woldenberg Business Complex 7 McAlister Drive New Orleans, LA 70118, , New Orleans",-90.119404,29.9394407
411,Master of Finance (MFIN),Tulane A B Freeman School of Business,70606,USA,"Goldring/Woldenberg Business Complex 7 McAlister Drive New Orleans, LA 70118, , New Orleans",-90.119404,29.9394407
412,Master of Management (MMG),Tulane A B Freeman School of Business,45000,USA,"Goldring/Woldenberg Business Complex 7 McAlister Drive New Orleans, LA 70118, , New Orleans",-90.119404,29.9394407
413,Master of Management in Energy (MME),Tulane A B Freeman School of Business,66086,USA,"Goldring/Woldenberg Business Complex 7 McAlister Drive New Orleans, LA 70118, , New Orleans",-90.119404,29.9394407
414,Master of Science in Information Technology Management (MSITM),St. Ambrose University,942,USA,"518 W. Locust Street Davenport, IA 52803, , Davenport",-90.5799802,41.539169
415,MA in International Studies,DePaul University Department of International Studies,/,USA,"DePaul University Welcome Center 2400 N. Sheffield Ave. Chicago, IL 60614, , Chicago",-87.6297982,41.8781136
416,Master of Science in Biotechnology,The Graduate College at Rush University,18113,USA,"The Graduate College at Rush University 600 S. Paulina St., Suite 438 Armour Academic Center Chicago, IL 60612, 60612, Chicago",-87.6297982,41.8781136
417,Master of Science in Clinical Research,The Graduate College at Rush University,1087,USA,"The Graduate College at Rush University 600 S. Paulina St., Suite 438 Armour Academic Center Chicago, IL 60612, 60612, Chicago",-87.6297982,41.8781136
418,Master???s in Biomedical Sciences,The Graduate College at Rush University,9833,USA,"The Graduate College at Rush University 600 S. Paulina St., Suite 438 Armour Academic Center Chicago, IL 60612, 60612, Chicago",-87.6297982,41.8781136
419,Master of Product Design and Development Management,Northwestern University Master of Product Design and Development Management,/,USA,"Segal Design Institute 2133 Sheridan Rd, IL 60208, Evanston",-87.6765436,42.0569238
420,MS in Business Analytics,Goizueta Business School,/,USA,"Clifton Road,1300, 30322, Atlanta",-84.3879824,33.7489954
421,Master of Professional Accountancy (MPA) (on-campus or online),"The University of Texas Permian Basin, College of Business",3019,USA,"College of Business, University of Texas of the Permian Basin, 4901 East University, 79762, Odessa",-102.3676431,31.8456816
422,MS in Leadership and Innovation Online,Purdue Online - Polytechnic Institute,33990,USA,"Purdue University - Purdue Polytechnic Institute, 401 N Grant Street, West Lafayette, IN 47907, , West Lafayette",-86.9111788,40.4277082
423,Master of Arts in Christian Ministry (M.A.C.M.),Baylor University,525,USA,"1100 South 3rd Street, TX 76706, Waco",-97.1198919,31.5506422
424,Master of Divinity (M.Div.),Baylor University,368,USA,"1100 South 3rd Street, TX 76706, Waco",-97.1198919,31.5506422
425,Master of Theological Studies (M.T.S.),Baylor University,950,USA,"1100 South 3rd Street, TX 76706, Waco",-97.1198919,31.5506422
426,MS in Bioinformatics,University of the Sciences in Philadelphia,1000,USA,"600 South 43rd Street, 19104, Philadelphia",-75.208133,39.9465441
427,Master's in Curriculum and Instruction,"The George Washington University, Graduate School of Education and Human Development",1825,USA,"G Street Northwest,2136, 20052, Washington",-77.048457,38.89812
428,Master's in Higher Education Administration,"The George Washington University, Graduate School of Education and Human Development",1825,USA,"G Street Northwest,2136, 20052, Washington",-77.048457,38.89812
429,Master's in International Education,"The George Washington University, Graduate School of Education and Human Development",1825,USA,"G Street Northwest,2136, 20052, Washington",-77.048457,38.89812
430,Master of Science in Clinical Neuroscience,Carrick Institute,/,USA,"8910 Astronaut Blvd, Ste 102, 32920, Cape Canaveral",-80.6136983,28.3988728
431,M.S. Data Analytics and Information Systems,Texas State University,767,USA,"University Drive,601, 78666, San Marcos",-97.9430682,29.8888838
432,M.S. Engineering,Texas State University,767,USA,"University Drive,601, 78666, San Marcos",-97.9430682,29.8888838
433,M.S. Marketing Research and Analysis,Texas State University,767,USA,"University Drive,601, 78666, San Marcos",-97.9430682,29.8888838
434,Master of Education in Advanced Teaching Degree,University of the People,2660,USA,"595 E. Colorado, Boulevard. Suite 623, 91101, Pasadena",-118.1380151,34.1462045
435,MSc in Financial Engineering: STEM-Designated Degree,University of Illinois at Urbana-Champaign,69600,USA,"University of Illinois, , Champaign",-88.2271615,40.1019523
436,Master of Science in Finance,Georgia State University - J. Mack Robinson College of Business,37500,USA,"33 Gilmer Street SE, 30303, Atlanta",-84.3859072,33.7534327
437,MSc in Accounting,Syracuse University - Whitman School of Management,28062,USA,"University Avenue,721, 13244, Syracuse",-76.1338979,43.0421347
438,MSc in Business Analytics,Syracuse University - Whitman School of Management,28062,USA,"University Avenue,721, 13244, Syracuse",-76.1338979,43.0421347
439,MSc in Entrepreneurship & Emerging Enterprises,Syracuse University - Whitman School of Management,28062,USA,"University Avenue,721, 13244, Syracuse",-76.1338979,43.0421347
440,MSc in Finance,Syracuse University - Whitman School of Management,28062,USA,"University Avenue,721, 13244, Syracuse",-76.1338979,43.0421347
441,MSc in Marketing,Syracuse University - Whitman School of Management,28062,USA,"University Avenue,721, 13244, Syracuse",-76.1338979,43.0421347
442,MSc in Supply Chain Management,Syracuse University - Whitman School of Management,28062,USA,"University Avenue,721, 13244, Syracuse",-76.1338979,43.0421347
443,Master of Human Resource Management (MHRM),Rutgers School of Management and Labor Relations,17244,USA,"94, Rockafeller Rd, , Piscataway Township",-74.43820771,40.52561555
444,Master of Labor and Employment Relations (MLER),Rutgers School of Management and Labor Relations,17244,USA,"94, Rockafeller Rd, , Piscataway Township",-74.43820771,40.52561555
445,Professional Master's in Human Resource Management,Rutgers School of Management and Labor Relations,17244,USA,"94, Rockafeller Rd, , Piscataway Township",-74.43820771,40.52561555
446,Master of Science in Information Systems (MSIS),Kennesaw State University,18000,USA,"1000 Chastain Road, , Kennesaw",-84.5830609,34.038296
447,Master of Science in Mechanical Engineering,Kennesaw State University,383,USA,"1000 Chastain Road, , Kennesaw",-84.5830609,34.038296
448,Dual MSIS / MBA,Kennesaw State University,/,USA,"1000 Chastain Road, , Kennesaw",-84.5830609,34.038296
449,Master of Science in Architectural Engineering (MSAE),Milwaukee School of Engineering MSOE,865,USA,"1025 North Broadway Milwaukee WI 53202-3109, , Milwaukee",-87.9089848,43.0440305
450,Master of Science in Civil Engineering (MSCVE),Milwaukee School of Engineering MSOE,865,USA,"1025 North Broadway Milwaukee WI 53202-3109, , Milwaukee",-87.9089848,43.0440305
451,Master of Science in Engineering (MSE),Milwaukee School of Engineering MSOE,865,USA,"1025 North Broadway Milwaukee WI 53202-3109, , Milwaukee",-87.9089848,43.0440305
452,Master of Science in Engineering Management (MSEM),Milwaukee School of Engineering MSOE,865,USA,"1025 North Broadway Milwaukee WI 53202-3109, , Milwaukee",-87.9089848,43.0440305
453,Master of Science in New Product Management (MSNP),Milwaukee School of Engineering MSOE,865,USA,"1025 North Broadway Milwaukee WI 53202-3109, , Milwaukee",-87.9089848,43.0440305
454,Master of Arts in Teaching English to Speakers of Other Language (M.A.T.E.S.O.L.),Campbellsville University,299,USA,"1 University Drive Campbellsville, KY 42718, 42718, Campbellsville",-85.3479884,37.3443086
455,Master of Science in Computer Science (M.S.C.S.),Campbellsville University,/,USA,"1 University Drive Campbellsville, KY 42718, 42718, Campbellsville",-85.3479884,37.3443086
456,Master of Public Affairs,University of Missouri Truman School of Public Affairs,/,USA,"101 Middlebush Hall, 65211, Columbia",-92.3529276,38.9075957
457,Online Master of Public Affairs,University of Missouri Truman School of Public Affairs,/,USA,"101 Middlebush Hall, 65211, Columbia",-92.3529276,38.9075957
458,Master in International Sports Management (M.S.),SUNY Cortland,/,USA,"21 Graham Ave. Cortland, NY 13045, , Cortland",-76.1872502,42.5988546
459,Master of Science in Education - Second Language Education,SUNY Cortland,/,USA,"21 Graham Ave. Cortland, NY 13045, , Cortland",-76.1872502,42.5988546
460,Master of Science in Exercise Science (M.S.),SUNY Cortland,/,USA,"21 Graham Ave. Cortland, NY 13045, , Cortland",-76.1872502,42.5988546
461,Sustainable Energy Systems - Master of Science (M.S) Program,SUNY Cortland,/,USA,"21 Graham Ave. Cortland, NY 13045, , Cortland",-76.1872502,42.5988546
462,Master of Development Engineering,"University of California, Berkeley",75000,USA,"Graduate Division 424 Sproul Hall #5900 Berkeley, CA 94720-5900 University of California, Berkeley, 94720-5900, Berkeley",-122.2560283,37.873109
463,Master of Engineering,"University of California, Berkeley",53316,USA,"Graduate Division 424 Sproul Hall #5900 Berkeley, CA 94720-5900 University of California, Berkeley, 94720-5900, Berkeley",-122.2560283,37.873109
464,Master of Molecular Science and Software Engineering (MSSE),"University of California, Berkeley",33960,USA,"Graduate Division 424 Sproul Hall #5900 Berkeley, CA 94720-5900 University of California, Berkeley, 94720-5900, Berkeley",-122.2560283,37.873109
465,M.S. in Accounting,University of Tampa - Sykes College of Business,20960,USA,"401 W. Kennedy Blvd. Fairgrounds Building, 33606, Tampa",-82.4670028,27.9468036
466,M.S. in Criminology and Criminal Justice,University of Tampa - Sykes College of Business,23580,USA,"401 W. Kennedy Blvd. Fairgrounds Building, 33606, Tampa",-82.4670028,27.9468036
467,M.S. in Cybersecurity,University of Tampa - Sykes College of Business,20960,USA,"401 W. Kennedy Blvd. Fairgrounds Building, 33606, Tampa",-82.4670028,27.9468036
468,M.S. in Entrepreneurship,University of Tampa - Sykes College of Business,20960,USA,"401 W. Kennedy Blvd. Fairgrounds Building, 33606, Tampa",-82.4670028,27.9468036
469,M.S. in Finance,University of Tampa - Sykes College of Business,28820,USA,"401 W. Kennedy Blvd. Fairgrounds Building, 33606, Tampa",-82.4670028,27.9468036
470,M.S. in Instructional Design and Technology,University of Tampa - Sykes College of Business,23580,USA,"401 W. Kennedy Blvd. Fairgrounds Building, 33606, Tampa",-82.4670028,27.9468036
471,M.S. in Marketing,University of Tampa - Sykes College of Business,28820,USA,"401 W. Kennedy Blvd. Fairgrounds Building, 33606, Tampa",-82.4670028,27.9468036
472,Master of Science in Athletic Training,Erskine College,34435,USA,"2 Washington St, SC 29639, Due West",-82.3905527,34.3305278
473,Master of Public Administration,University of Illinois at Chicago College of Urban Planning and Public Affairs,7830,USA,"College of Urban Planning and Public Affairs 412 S. Peoria Street, CUPPA Hall, (MC 350), Chicago, Illinois 60607, , Chicago",-87.6498485,41.8762927
474,Master of Public Policy,University of Illinois at Chicago College of Urban Planning and Public Affairs,8330,USA,"College of Urban Planning and Public Affairs 412 S. Peoria Street, CUPPA Hall, (MC 350), Chicago, Illinois 60607, , Chicago",-87.6498485,41.8762927
475,Master of Science in Civic Analytics,University of Illinois at Chicago College of Urban Planning and Public Affairs,8330,USA,"College of Urban Planning and Public Affairs 412 S. Peoria Street, CUPPA Hall, (MC 350), Chicago, Illinois 60607, , Chicago",-87.6498485,41.8762927
476,Master of Construction Management (MCM),North Dakota State University ??? Department of Construction Management and Engineering,11238,USA,"1315 Centennial Blvd, Engineering Building, Rm 106, 58102, Fargo",-96.8007758,46.8943355
477,Master of Arts in Ministry Leadership,University of Northwestern St. Paul,499,USA,"3003 Snelling Ave North, , Saint Paul",-93.1687212,45.0386809
